,Epoch,Loss,AUC,AUPRC,EF1%,EF5%,BEDROC,pIC50 MAE,pIC50 RMSE,Spearman,Pearson
0,1,0.15502444858479703,0.9480395710659042,0.9314858471503278,1.95,1.9393333333333334,0.9662153580377649,0.7740811109542847,1.0269112586975098,0.7062216668728952,0.7055935263633728
1,2,0.14950315240356657,0.9517919224023821,0.9360810142348818,1.9466666666666668,1.9366666666666668,0.96622874152611,0.7502108812332153,0.9987759590148926,0.7157737595446315,0.7146869897842407
2,3,0.1401927308139638,0.9513047618037384,0.9366337629769573,1.9633333333333334,1.9433333333333334,0.9692741199228913,0.7509785890579224,1.0078140497207642,0.716013794446061,0.7141832113265991
3,4,0.12854422768975934,0.9545905947891811,0.9394257158242437,1.96,1.9393333333333334,0.9706936846432529,0.7379670739173889,0.9904952049255371,0.7249663810283361,0.7246990203857422
